price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
1509058,3022,4,3,2,no,no,yes,no,no,0,no,semi-furnished
2616902,4121,6,6,3,no,no,no,yes,no,1,yes,semi-furnished
3405854,5785,8,6,1,yes,no,yes,yes,yes,0,yes,furnished
3110709,5607,6,6,4,yes,no,no,no,yes,1,yes,furnished
1331163,2392,1,2,4,yes,yes,yes,no,yes,3,no,semi-furnished
2685016,4735,5,6,4,yes,no,no,no,yes,2,no,unfurnished
1673230,2849,3,2,3,yes,no,no,no,yes,1,yes,furnished
1195279,1851,3,2,1,no,no,no,no,no,0,yes,semi-furnished
3016640,5384,7,6,4,no,yes,no,no,no,3,yes,semi-furnished
1595461,2835,3,3,1,no,no,no,yes,no,1,yes,semi-furnished
2965625,5223,7,6,1,no,yes,no,yes,yes,2,no,semi-furnished
2257098,4324,5,5,4,no,no,no,yes,no,0,yes,semi-furnished
3231994,5925,6,6,1,yes,yes,yes,yes,yes,1,yes,semi-furnished
1023391,1537,2,1,4,no,no,yes,yes,yes,2,yes,unfurnished
2098666,3155,4,5,4,no,yes,yes,yes,yes,2,yes,unfurnished
2186534,3444,5,5,3,yes,no,yes,no,no,0,no,semi-furnished
2458598,4366,6,5,4,yes,no,no,no,no,2,no,furnished
1302135,2884,3,2,4,no,no,yes,no,no,1,no,furnished
1743684,2716,3,3,3,yes,yes,yes,yes,no,3,yes,unfurnished
3232831,5891,8,6,4,yes,yes,no,yes,no,1,no,unfurnished
1933769,3623,4,5,3,no,no,no,no,no,2,no,furnished
1041493,2177,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished
1553295,3556,3,3,1,yes,no,yes,yes,no,1,no,furnished
2899403,5302,6,6,4,no,no,yes,yes,no,3,yes,furnished
2389311,4628,4,5,1,yes,yes,no,yes,yes,0,no,unfurnished
2873855,5666,6,6,4,no,no,no,no,no,0,yes,furnished
1459754,2328,2,3,1,yes,yes,yes,yes,yes,0,no,semi-furnished
3008129,5464,6,6,1,yes,no,no,no,yes,1,no,unfurnished
1265934,2220,2,1,2,yes,no,yes,yes,yes,1,no,unfurnished
2797609,5262,6,6,1,no,no,no,no,no,3,yes,unfurnished
2671063,4139,6,6,3,yes,yes,yes,yes,no,0,yes,semi-furnished
3114331,5937,7,6,2,no,no,yes,no,no,3,no,semi-furnished
566824,1456,1,1,4,no,no,no,yes,no,0,no,semi-furnished
822181,1549,1,2,1,no,no,yes,yes,no,3,no,furnished
1615244,2787,4,3,3,no,no,yes,yes,yes,1,no,unfurnished
2698804,5124,6,5,2,yes,no,yes,yes,no,2,no,semi-furnished
2054277,4468,4,4,2,no,yes,yes,yes,no,3,no,unfurnished
636132,621,1,2,3,no,yes,no,no,no,2,no,semi-furnished
1447022,2145,3,2,4,yes,no,yes,no,no,3,no,unfurnished
993926,1846,2,1,2,no,yes,no,yes,no,0,yes,semi-furnished
664930,1864,1,1,3,no,no,yes,no,no,2,no,unfurnished
3066943,5658,6,5,3,yes,yes,no,yes,yes,3,yes,unfurnished
749389,837,1,1,1,no,no,no,no,yes,1,no,unfurnished
960432,2075,1,1,1,no,yes,no,yes,yes,3,no,semi-furnished
593903,676,1,1,2,yes,no,no,no,no,2,no,semi-furnished
2033534,3751,4,3,2,no,no,no,no,yes,3,no,furnished
1185650,1001,2,3,4,no,yes,no,yes,yes,2,yes,unfurnished
3262121,5740,8,6,3,no,yes,no,yes,yes,2,no,unfurnished
826579,2038,1,1,3,no,yes,no,no,no,2,yes,semi-furnished
831917,1753,1,2,4,no,yes,no,yes,no,0,no,semi-furnished
1916164,2747,4,4,3,yes,yes,no,yes,no,1,yes,unfurnished
1944414,3075,4,4,1,yes,yes,yes,no,no,0,yes,furnished
1128932,1711,2,2,3,no,yes,no,yes,no,3,no,furnished
1564057,3635,3,3,4,yes,no,yes,no,no,0,no,semi-furnished
1132305,1600,2,1,2,yes,yes,no,yes,yes,1,yes,unfurnished
2795832,5403,5,4,3,yes,yes,no,yes,yes,2,yes,furnished
696332,811,1,1,3,yes,no,yes,yes,no,0,yes,unfurnished
2646347,4909,5,6,1,no,no,no,yes,no,1,yes,unfurnished
2867958,4871,6,6,1,yes,no,no,no,yes,3,no,furnished
2196807,3238,5,4,1,yes,no,no,no,no,3,no,furnished
1227923,1537,2,3,2,no,no,yes,no,no,3,no,semi-furnished
851253,1378,1,1,3,no,no,yes,no,yes,0,yes,furnished
1073866,1391,2,3,3,yes,yes,no,yes,no,2,no,unfurnished
1908433,2956,4,4,3,yes,yes,yes,no,yes,0,no,unfurnished
959398,1541,1,2,2,no,yes,no,yes,yes,2,no,semi-furnished
826363,650,1,1,4,yes,yes,yes,yes,yes,3,no,semi-furnished
1253543,1889,2,2,3,yes,yes,yes,yes,yes,0,no,semi-furnished
2600930,4073,5,6,4,no,no,yes,yes,no,3,yes,semi-furnished
2888415,5458,6,6,3,yes,yes,no,yes,yes,1,no,furnished
1911206,2693,3,3,1,yes,no,no,yes,yes,3,yes,unfurnished
1707989,3501,3,3,1,no,yes,no,yes,no,3,no,unfurnished
2067563,4021,5,4,4,yes,no,yes,no,no,0,no,furnished
2656416,4169,6,6,1,no,no,no,yes,no,1,yes,unfurnished
1131601,1534,2,3,2,no,no,yes,yes,yes,1,no,furnished
2754020,5534,5,6,1,yes,no,no,no,no,2,yes,semi-furnished
2384293,4441,5,6,3,no,yes,no,yes,no,3,no,furnished
1851147,3620,4,3,1,no,no,yes,no,yes,2,no,unfurnished
886820,1106,1,1,3,yes,yes,yes,yes,no,3,yes,semi-furnished
1874782,2917,3,3,3,yes,no,yes,no,yes,3,no,semi-furnished
3362558,5978,8,6,3,yes,yes,no,no,no,1,yes,semi-furnished
2372883,3685,5,5,2,yes,no,no,yes,no,2,yes,furnished
2303694,4583,4,3,2,yes,yes,no,yes,yes,2,yes,unfurnished
973023,1863,1,1,2,no,yes,no,no,yes,3,no,unfurnished
1601150,2516,4,3,3,no,yes,no,no,no,2,no,unfurnished
1827244,4029,4,3,2,no,yes,no,no,yes,0,no,furnished
1494048,2834,3,4,2,no,yes,yes,no,no,0,no,furnished
2164230,4712,5,4,4,yes,no,yes,yes,no,0,no,furnished
898205,913,1,1,2,no,no,yes,yes,yes,2,yes,furnished
3088926,5587,7,6,1,no,yes,no,yes,yes,1,no,unfurnished
1941516,4344,4,3,4,yes,yes,yes,no,no,0,no,furnished
1938652,4012,4,5,1,no,yes,yes,no,no,0,no,semi-furnished
747838,733,1,1,3,yes,yes,no,yes,yes,2,no,unfurnished
2644065,4406,6,6,2,yes,yes,no,yes,no,1,yes,furnished
1760312,3185,3,4,4,no,no,yes,yes,no,2,yes,unfurnished
1436965,2838,2,2,4,no,no,no,no,yes,3,no,semi-furnished
1504376,2784,2,3,4,yes,no,yes,no,no,0,yes,semi-furnished
1821413,3021,3,3,4,yes,no,no,no,yes,2,no,semi-furnished
714284,1069,1,2,4,no,yes,yes,yes,no,0,yes,furnished
3185395,5885,7,6,4,yes,yes,no,no,no,3,yes,unfurnished
2789530,4937,6,6,3,no,yes,yes,yes,yes,3,no,unfurnished
1839180,2744,3,4,4,yes,no,no,yes,yes,1,yes,semi-furnished
2173063,4246,4,5,3,no,yes,no,no,yes,1,no,unfurnished
757998,1594,1,1,2,no,yes,no,no,no,1,yes,furnished
2293266,3861,5,6,4,no,no,yes,yes,no,0,no,semi-furnished
2875423,4838,6,5,2,yes,no,yes,yes,yes,2,yes,furnished
1958491,2447,3,4,3,yes,no,yes,no,yes,2,yes,unfurnished
1541842,1981,3,4,2,yes,no,yes,yes,yes,0,no,unfurnished
2840609,5286,6,6,1,no,no,no,no,yes,3,no,semi-furnished
756736,1090,1,1,4,no,no,yes,no,yes,2,no,unfurnished
1751258,3866,3,3,1,no,yes,no,yes,no,3,yes,furnished
824892,1014,1,1,4,yes,yes,no,no,yes,1,no,unfurnished
2687055,4685,5,5,1,yes,no,no,yes,yes,2,yes,furnished
2753648,4654,6,6,4,no,yes,yes,no,yes,2,no,semi-furnished
639944,970,1,1,2,no,no,yes,no,no,2,yes,furnished
2175984,3826,4,4,3,yes,yes,no,yes,yes,0,yes,unfurnished
2710018,4480,6,6,2,yes,no,no,yes,no,2,no,unfurnished
2943166,4960,6,6,3,no,yes,no,no,yes,3,no,unfurnished
3089210,5754,6,6,4,no,yes,yes,no,yes,3,yes,unfurnished
967888,858,2,3,1,yes,yes,no,no,no,1,no,unfurnished
2503478,3961,5,6,4,yes,yes,yes,no,no,3,no,furnished
2759820,4967,6,6,3,no,no,yes,yes,no,2,yes,semi-furnished
1384114,2298,3,4,4,no,no,no,no,no,0,no,semi-furnished
1034895,1799,2,1,3,yes,no,no,no,no,1,yes,unfurnished
3185064,5204,7,6,2,yes,yes,yes,yes,yes,1,yes,furnished
2349092,3305,5,5,1,yes,yes,yes,no,no,3,yes,semi-furnished
1737680,2938,4,3,1,yes,yes,yes,no,yes,0,no,semi-furnished
1105324,2971,2,1,3,yes,no,no,no,no,1,no,semi-furnished
831398,1522,1,1,4,no,yes,yes,no,no,1,yes,unfurnished
2257570,3921,4,5,3,yes,no,yes,yes,yes,3,no,furnished
1527536,2736,3,2,4,no,no,no,yes,no,2,yes,furnished
797592,1568,1,1,2,no,no,yes,no,no,1,yes,furnished
1391613,1854,2,3,3,no,no,yes,yes,yes,3,no,furnished
1047211,1519,1,2,2,yes,yes,no,no,yes,1,no,furnished
1795610,4249,4,4,2,no,no,yes,no,no,0,no,semi-furnished
1596482,2385,3,2,1,no,no,yes,yes,yes,3,yes,semi-furnished
924485,2074,1,2,4,no,no,no,no,no,0,yes,unfurnished
972205,1571,1,2,4,yes,yes,yes,yes,no,3,no,unfurnished
1510603,2481,2,2,3,yes,no,yes,yes,yes,3,yes,furnished
874135,1151,1,2,1,no,yes,yes,yes,no,3,yes,unfurnished
879934,1062,1,2,3,yes,no,no,yes,no,1,yes,semi-furnished
1262836,2854,2,3,2,no,no,yes,no,no,2,no,semi-furnished
1436169,3056,3,2,4,yes,yes,no,yes,no,0,no,semi-furnished
2599325,4941,5,5,2,no,yes,no,yes,no,2,yes,unfurnished
762819,2160,1,1,4,yes,yes,yes,yes,no,1,no,semi-furnished
1132524,2335,1,2,1,no,yes,yes,no,yes,2,no,semi-furnished
3011958,4971,7,6,3,no,no,no,no,yes,3,no,furnished
1539638,3163,3,2,2,yes,yes,no,no,no,1,yes,semi-furnished
1934669,3711,5,4,4,no,no,no,no,no,1,no,furnished
2819240,5077,6,5,1,yes,yes,yes,yes,no,1,yes,furnished
705044,1837,1,1,4,no,yes,no,no,yes,0,no,furnished
3190951,4936,7,6,3,yes,no,yes,yes,yes,1,yes,furnished
2803477,4912,6,6,3,no,yes,no,no,no,1,yes,semi-furnished
1101727,1260,2,3,1,yes,no,no,no,no,0,yes,unfurnished
949278,1277,1,1,3,yes,yes,yes,yes,no,2,yes,furnished
2233865,2896,4,5,1,yes,no,yes,yes,yes,3,yes,semi-furnished
2540275,5219,5,6,4,no,no,yes,yes,no,0,yes,semi-furnished
708375,1222,1,2,4,no,yes,no,no,no,1,no,unfurnished
2551221,4137,4,5,4,yes,no,yes,yes,yes,2,yes,semi-furnished
3062142,5792,6,6,4,no,no,yes,yes,yes,2,no,semi-furnished
1390905,2809,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
1111764,1362,2,3,3,no,yes,no,no,no,0,yes,unfurnished
1501967,1989,3,3,2,yes,no,no,no,no,1,yes,furnished
1460317,2860,3,3,4,yes,no,no,yes,no,1,no,furnished
1255228,3095,2,2,3,no,no,no,no,no,1,no,semi-furnished
1247105,2245,2,2,2,no,no,no,no,yes,2,no,semi-furnished
2022617,3590,3,4,2,yes,yes,no,yes,no,2,yes,semi-furnished
2219828,4690,4,5,3,yes,no,yes,no,no,0,no,unfurnished
3167029,5369,6,6,4,yes,no,yes,yes,yes,2,yes,unfurnished
1348943,962,2,3,4,no,no,yes,yes,yes,2,yes,unfurnished
2990226,4849,7,6,2,no,no,no,no,yes,2,yes,semi-furnished
1458423,3020,3,2,1,yes,no,no,no,no,1,no,semi-furnished
770488,1399,1,2,4,no,yes,no,yes,yes,0,no,unfurnished
1678177,1946,3,2,2,yes,no,no,no,yes,3,yes,furnished
3414337,5984,7,6,1,yes,no,no,no,yes,1,yes,semi-furnished
987698,1112,2,1,2,no,no,yes,no,yes,2,no,unfurnished
2105173,3167,4,4,4,yes,no,no,no,yes,2,yes,unfurnished
1410287,3165,2,1,3,yes,yes,no,yes,no,3,yes,unfurnished
2125753,4065,4,4,2,yes,no,no,yes,yes,2,no,unfurnished
1691224,3541,3,3,2,yes,no,no,no,no,3,no,semi-furnished
844506,1277,2,1,2,no,yes,no,yes,no,1,no,unfurnished
2751195,4657,6,6,1,yes,no,no,yes,no,1,no,furnished
2955080,5954,6,6,1,no,no,no,yes,no,0,yes,furnished
3186114,5416,7,6,4,yes,yes,yes,yes,yes,2,no,unfurnished
999482,1979,2,3,3,no,no,yes,yes,no,0,no,unfurnished
793456,1687,1,1,3,yes,no,no,yes,no,3,no,semi-furnished
2936301,5790,6,6,3,no,no,no,no,yes,0,no,unfurnished
1859594,3534,3,4,4,yes,no,yes,no,no,2,no,semi-furnished
2615800,5334,5,6,4,no,yes,yes,yes,no,0,yes,furnished
2258496,4339,4,4,2,yes,no,yes,no,yes,2,no,furnished
2805131,5915,6,5,4,no,yes,no,yes,yes,0,yes,semi-furnished
1153677,1687,3,2,4,yes,yes,no,yes,no,1,no,furnished
2250347,3738,3,4,1,yes,no,no,no,yes,3,yes,unfurnished
1081324,1770,1,2,1,yes,no,no,yes,yes,3,no,furnished
991209,1423,1,1,4,no,no,no,yes,yes,2,yes,furnished
3163871,5523,7,6,3,yes,no,yes,yes,no,2,yes,furnished
1860204,3761,3,2,4,yes,yes,no,no,yes,3,no,semi-furnished
1057801,2015,2,1,1,yes,yes,no,yes,yes,0,no,unfurnished
3038855,5749,8,6,4,no,no,yes,yes,no,0,no,furnished
1131417,2264,1,2,3,no,yes,no,no,yes,0,yes,furnished
979886,1550,1,2,1,no,yes,yes,yes,yes,0,yes,semi-furnished
2920418,4884,7,6,3,yes,no,yes,no,yes,0,no,semi-furnished
2297257,4891,5,5,1,no,no,no,yes,no,1,no,furnished
1219955,1442,2,3,1,yes,yes,yes,yes,yes,0,no,semi-furnished
966949,1829,1,1,4,yes,no,yes,no,no,2,yes,unfurnished
1379839,1578,2,3,1,yes,yes,yes,no,yes,3,no,semi-furnished
1154591,1307,2,2,1,no,yes,no,no,yes,3,no,unfurnished
1746383,2200,3,4,2,yes,yes,no,yes,yes,2,yes,semi-furnished
3090474,5984,7,6,3,yes,yes,yes,no,no,0,yes,unfurnished
1034010,1362,1,1,4,no,no,yes,yes,yes,3,yes,unfurnished
811091,1110,1,2,2,yes,no,no,no,no,2,no,semi-furnished
1103990,2513,2,1,2,yes,yes,yes,yes,no,3,no,semi-furnished
2730882,4990,6,5,4,no,no,no,yes,yes,1,no,unfurnished
2323138,5542,5,4,3,yes,yes,yes,no,no,0,no,semi-furnished
777986,854,1,1,2,yes,no,yes,yes,yes,0,yes,furnished
1397053,2223,2,2,1,no,yes,yes,yes,yes,3,yes,furnished
1001324,1603,1,1,1,yes,no,no,no,yes,3,no,furnished
920015,2358,1,1,3,no,yes,yes,yes,no,3,no,unfurnished
960562,1099,1,1,4,yes,no,yes,yes,yes,3,no,semi-furnished
2427959,4570,5,6,3,no,no,yes,yes,no,1,yes,semi-furnished
2695342,4464,6,6,2,yes,yes,yes,yes,no,0,yes,unfurnished
1552096,3506,3,2,2,no,no,yes,no,yes,1,no,unfurnished
889652,2038,2,1,1,yes,yes,yes,yes,no,0,no,unfurnished
1158174,1668,2,3,2,no,yes,yes,yes,yes,0,no,furnished
2206583,3840,5,4,3,no,no,yes,yes,no,3,no,furnished
2927011,5203,7,6,3,yes,yes,no,no,no,1,yes,unfurnished
2692956,5292,6,6,1,yes,no,yes,yes,no,1,no,unfurnished
1506591,2549,3,3,2,yes,no,no,yes,no,1,yes,unfurnished
2026853,3471,4,3,1,yes,no,no,no,yes,3,no,semi-furnished
2901593,5073,6,5,4,yes,yes,no,yes,yes,2,yes,semi-furnished
923606,1457,1,1,2,no,yes,yes,yes,no,3,yes,semi-furnished
1584979,1951,3,3,2,yes,yes,no,yes,yes,3,no,unfurnished
993694,3036,2,1,1,no,no,yes,yes,no,0,no,furnished
3080432,5720,8,6,2,yes,yes,yes,yes,no,0,no,furnished
2055776,3856,4,4,3,yes,no,yes,no,no,2,yes,semi-furnished
1614604,2756,3,3,3,yes,no,yes,yes,yes,0,no,unfurnished
2804830,5431,5,6,1,no,no,no,yes,no,2,yes,semi-furnished
1300105,884,2,3,2,yes,no,yes,yes,yes,1,yes,furnished
1198872,1241,2,2,2,yes,no,no,yes,yes,3,no,unfurnished
1841634,2862,4,4,1,no,yes,no,yes,yes,0,yes,unfurnished
1797450,2943,4,4,4,no,no,no,no,yes,1,no,semi-furnished
3294823,5664,8,6,4,yes,no,no,yes,yes,3,no,semi-furnished
1977110,3367,4,4,3,no,yes,yes,yes,no,3,no,semi-furnished
2654193,4014,6,6,1,yes,no,yes,no,no,2,yes,unfurnished
1034315,1137,1,2,4,yes,yes,yes,yes,yes,0,yes,furnished
920652,1014,1,2,2,no,no,no,no,yes,0,yes,semi-furnished
2816895,5466,6,5,4,no,no,yes,no,yes,2,yes,semi-furnished
1407824,1934,3,2,2,yes,yes,no,no,yes,0,no,furnished
1160442,2018,3,2,2,no,no,no,no,no,2,no,semi-furnished
2404294,4423,5,6,4,yes,yes,no,no,no,0,no,furnished
1779297,2864,4,4,3,no,no,yes,yes,yes,0,no,unfurnished
1264740,1746,3,2,4,no,no,no,no,no,0,yes,semi-furnished
1780007,2421,4,5,4,no,no,yes,yes,no,0,no,furnished
1986674,2718,4,5,2,no,yes,yes,no,yes,2,no,semi-furnished
1892172,2734,4,4,4,yes,no,yes,yes,no,1,yes,unfurnished
3016808,4940,6,6,1,yes,yes,yes,no,no,3,yes,semi-furnished
1064928,2077,1,1,3,yes,no,yes,yes,no,2,yes,furnished
1121387,1897,2,1,2,no,no,no,no,no,3,yes,furnished
1395738,2233,3,3,1,no,yes,yes,yes,yes,1,no,semi-furnished
1029415,1441,1,2,3,yes,yes,yes,no,no,3,no,semi-furnished
1407713,1696,2,2,3,yes,yes,no,yes,yes,1,yes,furnished
728561,779,1,2,2,yes,no,yes,no,no,0,yes,unfurnished
2973960,5954,6,5,1,no,no,no,yes,no,3,yes,furnished
2885196,5763,6,6,4,yes,no,yes,no,yes,0,no,furnished
2291976,4677,4,5,2,no,yes,no,no,no,1,yes,unfurnished
1828320,2301,3,3,3,yes,yes,yes,yes,yes,3,yes,furnished
1144317,1214,2,3,1,no,yes,no,no,no,3,yes,furnished
799863,923,1,1,3,no,yes,yes,yes,yes,1,yes,semi-furnished
2574413,4185,6,6,1,no,no,yes,yes,no,3,no,semi-furnished
2810896,4517,5,6,2,yes,yes,yes,yes,yes,3,no,unfurnished
1916071,4189,4,5,4,no,yes,yes,no,no,0,no,semi-furnished
865227,1118,1,2,3,yes,yes,no,yes,no,1,no,semi-furnished
3086868,5854,7,6,1,yes,yes,no,no,yes,0,no,semi-furnished
1786467,3310,4,3,2,no,no,yes,yes,no,3,no,furnished
2479444,4262,5,4,4,yes,yes,no,no,yes,0,yes,unfurnished
3230425,5822,7,6,2,no,no,no,yes,yes,3,no,unfurnished
2889061,5514,6,6,3,no,yes,yes,yes,yes,2,no,unfurnished
2786839,5086,7,6,1,yes,yes,no,yes,no,0,no,unfurnished
844381,2136,1,1,2,no,yes,no,yes,no,0,yes,semi-furnished
3152574,5994,8,6,2,no,yes,yes,no,no,1,yes,unfurnished
735602,1448,1,2,3,no,no,yes,no,no,2,no,semi-furnished
1311996,1731,2,3,3,no,yes,yes,yes,no,2,yes,unfurnished
1647990,2056,3,4,3,yes,no,no,no,no,3,yes,unfurnished
866295,807,1,1,1,yes,yes,no,yes,no,2,yes,furnished
1377253,3017,2,3,1,no,no,yes,yes,no,1,no,unfurnished
1001834,984,1,1,4,no,yes,yes,no,yes,3,yes,unfurnished
3337601,5905,7,6,2,yes,no,no,yes,yes,1,yes,unfurnished
689900,1577,1,1,4,no,no,yes,yes,no,0,no,semi-furnished
1162713,1868,1,1,3,yes,no,no,no,yes,2,yes,furnished
905398,1158,2,1,4,no,yes,no,yes,yes,2,no,semi-furnished
1814151,2389,3,4,4,yes,yes,no,no,yes,1,yes,unfurnished
1480785,3724,3,3,3,no,yes,no,no,no,0,no,unfurnished
2421289,3224,5,4,1,yes,yes,yes,yes,yes,3,yes,furnished
2635736,4165,6,5,2,yes,no,no,yes,yes,0,yes,furnished
2602885,5171,5,6,2,no,no,no,no,no,3,no,furnished
1087154,1569,2,1,1,yes,yes,no,yes,no,2,yes,semi-furnished
2217867,3724,4,5,1,no,yes,yes,yes,no,2,yes,semi-furnished
3447621,5907,7,6,2,yes,yes,yes,no,yes,2,yes,unfurnished
1893592,3416,3,3,2,yes,yes,yes,no,yes,0,yes,unfurnished
1011710,1045,2,2,1,no,yes,no,yes,yes,3,no,semi-furnished
2877556,5969,6,5,3,yes,yes,no,no,no,2,no,unfurnished
1576578,1848,3,4,3,no,no,yes,yes,no,1,yes,unfurnished
3117437,5849,7,6,3,yes,no,no,no,no,2,no,semi-furnished
1043957,1491,1,2,1,no,yes,yes,no,yes,0,yes,unfurnished
1268460,855,2,3,4,yes,yes,no,no,yes,2,no,furnished
1273901,2983,2,2,1,no,no,yes,yes,yes,1,no,furnished
2929865,5239,7,6,2,no,no,yes,yes,no,1,yes,semi-furnished
1397540,2517,2,3,2,no,no,no,no,yes,0,no,furnished
3082143,4871,7,6,3,yes,no,no,no,yes,2,no,furnished
2225003,3924,4,4,4,no,yes,yes,no,yes,1,yes,unfurnished
1389007,2900,2,1,2,yes,no,yes,yes,no,2,yes,semi-furnished
2448346,4522,5,4,2,no,yes,yes,yes,yes,1,yes,unfurnished
1123535,921,2,1,1,yes,no,yes,no,yes,2,yes,furnished
2878617,5568,6,6,2,yes,no,yes,yes,no,1,no,semi-furnished
2604084,5438,5,4,4,no,yes,yes,yes,yes,3,yes,unfurnished
1390927,2053,2,3,1,yes,yes,no,yes,yes,3,no,semi-furnished
2611172,4940,6,5,4,no,no,yes,no,yes,2,no,furnished
1879449,2920,4,5,4,no,yes,yes,yes,yes,0,no,unfurnished
1637850,3187,3,3,1,yes,no,no,no,no,2,no,unfurnished
1254433,2268,2,3,4,yes,no,no,no,no,2,no,unfurnished
2972001,6000,6,6,2,no,yes,yes,yes,no,2,yes,furnished
2705273,5809,6,5,2,no,no,yes,yes,no,1,no,furnished
909450,909,2,2,4,no,yes,yes,no,no,0,yes,unfurnished
1424269,2942,2,1,2,yes,yes,no,yes,yes,1,yes,semi-furnished
2187882,3492,5,5,4,yes,yes,yes,yes,no,2,no,semi-furnished
2582733,5567,5,5,4,yes,no,yes,no,yes,0,no,semi-furnished
2591889,4804,6,6,3,no,no,no,yes,no,3,no,unfurnished
2137675,4548,4,4,1,no,yes,yes,no,no,2,yes,unfurnished
1404476,2633,3,2,4,no,yes,yes,no,no,2,yes,unfurnished
1492916,2097,3,4,2,no,yes,yes,yes,no,1,yes,furnished
3222744,5667,7,6,1,yes,yes,no,yes,yes,3,no,unfurnished
2795699,4633,6,6,4,yes,no,no,yes,yes,0,no,semi-furnished
921127,866,2,2,4,yes,no,yes,no,no,0,yes,unfurnished
2187380,3708,5,4,3,no,no,yes,no,yes,2,no,unfurnished
1757251,3597,3,3,4,yes,no,no,no,no,2,no,furnished
1490523,1674,3,4,2,yes,no,yes,no,no,1,yes,unfurnished
1961265,4474,4,3,4,no,yes,no,no,no,2,yes,semi-furnished
814983,1938,1,1,3,no,yes,no,no,no,2,no,unfurnished
1461789,2711,3,2,4,yes,no,yes,yes,no,2,no,unfurnished
2807253,4593,6,6,1,no,no,no,yes,yes,2,no,unfurnished
2769749,5282,6,5,1,yes,no,yes,no,no,2,no,unfurnished
2106987,3839,4,4,3,no,no,yes,yes,yes,1,yes,unfurnished
717723,1255,1,1,4,yes,yes,yes,no,yes,0,no,unfurnished
984318,1451,1,2,2,yes,no,no,yes,yes,2,no,unfurnished
1324377,1675,3,2,1,yes,no,no,no,no,2,no,furnished
2568947,5017,5,6,4,no,no,no,no,yes,0,no,semi-furnished
2124636,3976,4,3,3,yes,yes,yes,no,no,3,yes,unfurnished
2356948,4508,5,4,4,no,yes,yes,no,yes,3,no,semi-furnished
1448649,1937,3,4,4,no,yes,no,yes,no,1,no,semi-furnished
3045884,4957,6,6,2,yes,yes,yes,no,yes,3,no,semi-furnished
3028958,5701,7,6,3,yes,yes,yes,yes,yes,0,no,semi-furnished
2685031,4191,6,5,2,yes,yes,yes,no,yes,2,no,semi-furnished
2198806,3642,4,5,1,no,yes,yes,yes,no,3,yes,unfurnished
986465,2087,1,1,4,yes,yes,yes,no,no,1,yes,furnished
1252571,1369,2,3,2,no,no,no,no,yes,0,yes,semi-furnished
3161777,5830,7,6,3,yes,yes,yes,yes,no,2,yes,furnished
2621070,5389,5,5,2,yes,yes,no,yes,no,0,yes,furnished
1235671,1348,2,3,3,yes,yes,no,yes,yes,1,no,furnished
3306557,5174,7,6,4,yes,yes,no,no,yes,2,yes,semi-furnished
